id,action,username,timestamp
1,"Added lot 2000007777",admin,2025-09-25T11:34:21.648960
2,"Added lot 1000002032",admin,2025-09-25T11:35:31.890200
3,"Added lot 6444646454",admin,2025-09-28T14:15:01.016502
4,"Added lot 5561515151",admin,2025-09-28T19:20:38.872682
